Material,Color,Opacity,A=410nm,B=435nm,C=460nm,D=485nm,E=510nm,F=535nm,G=560nm,H=585nm,I=645nm,J=705nm,K=900nm,L=940nm,R=610nm,S=680nm,T=730nm,U=760nm,V=810nm,W860nm
Cot,Blu,,3192.79,1866.49,3257.94,2069.56,1838.89,1579.59,902.35,1595.24,653.96,1052.72,2672.11,3305.34,1254.25,1185.24,3084.72,3712.59,4529.42,4804.92
Cot,Blu,,3160.6,1844.24,3216.13,2055.37,1818.19,1552.49,882.48,1562.26,634.47,1021.23,2633.01,3268.61,1200.41,1127.68,3011.79,3633.51,4468.01,4704.3
Cot,Blu,,3223.03,1850.73,3199.77,2071.34,1807.84,1544.15,885.79,1579.33,653.31,1022.23,2601.94,3286.97,1246.23,1144.27,3082.15,3630.99,4439.06,4589.65
Cot,Wht,,3296.19,2063.88,3482.47,2224.8,1974.94,1712.32,1059.64,1897.92,1045.11,1394.79,2629.8,3269.45,2297.74,2275.85,3826.94,4062.57,4656.63,4741.74
Cot,Wht,,3879.54,2222.36,3712.46,2360.52,2086.59,1802.67,1121.73,2030.24,1219.56,1558.86,2808.69,3495.64,2645.95,2988.95,4185.61,4381.41,5026.84,5057.62
Cot,Wht,,3907.83,2335.42,3887.9,2458.1,2202.68,1913.16,1207,2145.1,1328.72,1633.77,2800.65,3466.43,2970.11,3215.27,4280.85,4426,5040,5078.68
Cot,Wht,,3939.04,2264.06,3777.9,2413.75,2128.74,1849.23,1154.84,2082.24,1265.37,1592.34,2829.04,3525.69,2778.82,3066.01,4273.99,4444.51,5061.06,5109.1
Cot,Wht,,3942.94,2318.74,3855.17,2450.12,2175.32,1899.96,1187.54,2124.92,1289.41,1634.44,2841.36,3522.35,2870.45,3155.76,4291.15,4483.21,5078.6,5189.82
Cot,Wht,,3384.96,2136.17,3594.28,2299.32,2041.49,1760.97,1087.79,1933.62,1043.81,1402.75,2697.28,3336.22,2286.28,2210.5,3877.57,4156.79,4775.94,4856.39
Cot,Wht,,3432.76,2170.46,3659.73,2331.25,2079.2,1792.94,1108.07,1970.09,1056.15,1429.59,2754.05,3396.32,2314.92,2258.3,3928.19,4238.4,4880.34,4969.88
Cot,Wht,,3389.84,2141.73,3619.73,2304.64,2055.54,1770.7,1093.58,1943.71,1042.51,1413.35,2722.99,3347.91,2280.56,2233.91,3874.13,4190.44,4820.68,4905.53
Cot,Wht,,3476.66,2199.19,3684.28,2362.3,2093.25,1814.48,1120.07,1994.15,1074.67,1454.12,2790.47,3443.06,2358.45,2293.41,4007.13,4319.16,4929.47,5051.77
Cot,Grn,,3334.24,1774.74,3137.95,1966.66,1726.5,1462.84,861.37,1646.08,831.02,1393.13,2804.94,3473.11,1546.33,2257.32,3912.75,4295.6,4947.01,5063.47
Cot,Grn,,3338.14,1785.86,3126.13,1979.97,1726.5,1471.18,863.44,1655.39,851.81,1403.74,2817.79,3482.29,1586.42,2281.71,3911.03,4284.67,4943.5,5071.66
Cot,Grn,,3279.61,1745.08,3097.05,1935.61,1705.8,1441.99,846.47,1618.53,823.87,1378.88,2787.8,3428.04,1516.55,2224.15,3846.68,4214.84,4890.86,5002.63
Cot,Grn,,3307.9,1761.76,3104.32,1951.58,1709.5,1456.59,855.99,1632.5,824.84,1389.82,2782.98,3448.07,1542.9,2255.37,3894.73,4267,4897.01,5043.58
Cot,Grn,,2812.35,1464.27,2645.26,1666.83,1497.29,1363.47,790.59,1445.85,569.17,941.02,2551.6,3167.62,1012.56,1056.47,2556.16,3203.61,4153.07,4503.07
Cot,Grn,,2595.79,1358.62,2431.64,1553.28,1385.64,1284.94,742.58,1339.14,536.68,896.93,2322.36,2906.36,986.22,1014.53,2470.35,3024.42,3867.07,4222.29
Cot,Grn,,2706.99,1409.6,2544.36,1602.96,1452.93,1335.67,778.59,1401.61,567.22,932.73,2435.37,3004.02,1040.05,1083.79,2605.92,3222.96,4102.18,4354.49
Cot,Grn,,2696.26,1403.11,2536.18,1594.97,1447.01,1332.19,777.35,1395.79,565.27,928.09,2447.16,3003.18,1027.45,1071.11,2602.49,3219.6,4110.08,4362.68
Cot,Grn,,2653.34,1381.79,2482.55,1570.13,1416.7,1316.21,767.41,1373.67,552.93,916.16,2380.21,2938.91,1019.44,1047.69,2586.19,3187.63,4007.44,4283.13
Cot,Grn,,2704.07,1408.67,2521.63,1600.3,1441.1,1337.75,778.17,1397.34,563.65,929.09,2416.63,2990.66,1043.49,1075.01,2616.22,3231.38,4061.83,4361.51
Cot,Grn,,2730.41,1419.79,2548.9,1615.38,1452.93,1341.23,779.83,1407.04,561.37,929.09,2453.05,3033.23,1028.6,1047.69,2596.48,3233.9,4107.45,4409.48
Cot,Grn,,2740.16,1424.42,2558.9,1620.7,1461.06,1348.87,785.63,1415.19,569.5,937.7,2464.83,3042.41,1044.63,1077.93,2622.23,3254.93,4132.89,4423.52
